Title,Artist,Style,Genre,Media,Link to Picture,link to image,Artwork_ID,,,,
Horse Attacked by a Lion,George Stubbs,Romanticism,wildlife painting,"oil, canvas",https://www.wikiart.org/en/george-stubbs/horse-attacked-by-a-lion,https://uploads8.wikiart.org/images/george-stubbs/horse-attacked-by-a-lion.jpg,1,,,,
Vesuvius from Posillipo,Joseph Wright,Romanticism,landscape,"oil, canvas",https://www.wikiart.org/en/joseph-wright/vesuvius-from-posillipo,https://uploads8.wikiart.org/images/joseph-wright/vesuvius-from-posillipo.jpg,2,,,,
The Siege and Relief of Gibraltar,John Singleton Copley,Romanticism,battle painting,"oil, canvas",https://www.wikiart.org/en/john-singleton-copley/the-siege-and-relief-of-gibraltar-1783,https://uploads8.wikiart.org/images/john-singleton-copley/the-siege-and-relief-of-gibraltar-1783.jpg,3,,,,
Hagen and the Nymphs of the Danube,Henry Fuseli,Romanticism,Mythological painting,"drawing, pen, ink",https://www.wikiart.org/en/henry-fuseli/hagen-and-the-nymphs-of-the-danube-1802,https://uploads8.wikiart.org/00420/images/henry-fuseli/hagen-and-the-nymphs-of-the-danube-the-metropolitan-museum-of-art.jpg!HD.jpg,4,,,,
The Adoration of the Name of The Lord,Francisco Goya,Romanticism,Religious painting,fresco,https://www.wikiart.org/en/francisco-goya/the-adoration-of-the-name-of-the-lord-1772,https://uploads8.wikiart.org/images/francisco-goya/the-adoration-of-the-name-of-the-lord-1772.jpg,5,,,,
Portrait of the Empress Josephine,Pierre-Paul Prud'hon,Romanticism,portrait,"oil, canvas",https://www.wikiart.org/en/pierre-paul-prud-hon/portrait-of-the-empress-josephine-1805,https://uploads8.wikiart.org/images/pierre-paul-prud-hon/portrait-of-the-empress-josephine-1805.jpg,6,,,,
Rear-Admiral Sir Horatio Nelson,John Hoppner,Romanticism,portrait,"oil, canvas",https://www.wikiart.org/en/john-hoppner/rear-admiral-sir-horatio-nelson-ca-1800,https://uploads8.wikiart.org/images/john-hoppner/rear-admiral-sir-horatio-nelson-ca-1800.jpg,7,,,,
Tradition of bringing new wine to town,Saverio della Gatta,Romanticism,genre painting,"tempera, paper",https://www.wikiart.org/en/saverio-della-gatta/custom-of-bringing-new-wine-to-town-1823,https://uploads8.wikiart.org/00360/images/saverio-della-gatta/174142.jpg!Large.jpg,8,,,,
John Philip Kemble,Thomas Lawrence,Romanticism,portrait,"oil, canvas",https://www.wikiart.org/en/thomas-lawrence/john-philip-kemble-1812,https://uploads8.wikiart.org/images/thomas-lawrence/john-philip-kemble-1812.jpg,9,,,,
The Eildon Hills and the Tweed,James Ward,Romanticism,landscape,"oil, canvas",https://www.wikiart.org/en/james-ward/the-eildon-hills-and-the-tweed-1807,https://uploads8.wikiart.org/images/james-ward/the-eildon-hills-and-the-tweed-1807.jpg,10,,,,
"Impression, sunrise",Claude Monet,Impressionism,cityscape,"oil, canvas",https://www.wikiart.org/en/claude-monet/impression-sunrise,https://uploads8.wikiart.org/images/claude-monet/impression-sunrise.jpg,11,,,,
The Bay of Douarnenez,Eugene Boudin,Impressionism,landscape,"oil, canvas",https://www.wikiart.org/en/eugene-boudin/the-bay-of-douarnenez-1897,https://uploads8.wikiart.org/images/eugene-boudin/the-bay-of-douarnenez-1897.jpg,12,,,,
"Avenue de l'Opera, Place du Theatre Francais. Misty",Camille Pissarro,Impressionism,cityscape,"oil, canvas",https://www.wikiart.org/en/camille-pissarro/avenue-de-l-opera-place-du-theatre-francais-misty,https://uploads8.wikiart.org/images/camille-pissarro/avenue-de-l-opera-place-du-theatre-francais-misty.jpg,13,,,,
Effect of Snow at Petit-Montrouge,Edouard Manet,Impressionism,cityscape,"oil, canvas",https://www.wikiart.org/en/edouard-manet/effect-of-snow-at-petit-montrouge-1870,https://uploads8.wikiart.org/images/edouard-manet/effect-of-snow-at-petit-montrouge-1870.jpg,14,,,,
Study for Mouth of the River,James McNeill Whistler,Impressionism,landscape,watercolor,https://www.wikiart.org/en/james-mcneill-whistler/study-for-mouth-of-the-river-1877,https://uploads8.wikiart.org/images/james-mcneill-whistler/study-for-mouth-of-the-river-1877.jpg,15,,,,
Sailing ships at dawn,Konstantinos Volanakis,Impressionism,marina,"oil, canvas",https://www.wikiart.org/en/konstantinos-volanakis/sailing-ships-at-dawn,https://uploads8.wikiart.org/images/konstantinos-volanakis/sailing-ships-at-dawn.jpg,16,,,,
Smârdan Attack,Nicolae Grigorescu,Impressionism,battle painting,"oil, canvas",https://www.wikiart.org/en/nicolae-grigorescu/sm-rdan-attack-1878,https://uploads8.wikiart.org/images/nicolae-grigorescu/sm-rdan-attack-1878.jpg,17,,,,
"Near the Grand Canal, Venice",Martin Rico y Ortega,Impressionism,cityscape,"oil, canvas",https://www.wikiart.org/en/martin-rico/near-the-grand-canal-venice-1908,https://uploads5.wikiart.org/00290/images/martin-rico/near-the-grand-canal-venice-by-martin-rico-y-ortega-1908-oil-on-canvas-currier-museum-of-art.jpg!HD.jpg,18,,,,
Landscape at Valery-sur-Somme,Edgar Degas,Impressionism,landscape,"oil, canvas",https://www.wikiart.org/en/edgar-degas/landscape-at-valery-sur-somme,https://uploads8.wikiart.org/images/edgar-degas/landscape-at-valery-sur-somme.jpg,19,,,,
In St Cloud Park,Pierre-Auguste Renoir,Impressionism,landscape,"oil, canvas",https://www.wikiart.org/en/pierre-auguste-renoir/in-st-cloud-park-1866,https://uploads8.wikiart.org/images/pierre-auguste-renoir/in-st-cloud-park-1866.jpg,20,,,,
Two Dancers,Christian Rohlfs,Expressionism,symbolic painting,woodcut,https://www.wikiart.org/en/christian-rohlfs/two-dancers-1913,https://uploads8.wikiart.org/images/christian-rohlfs/two-dancers-1913.jpg,21,,,,
Sunset Over the Bay of Naples,Tivadar Kosztka Csontvary,Expressionism,landscape,"oil, canvas",https://www.wikiart.org/en/tivadar-kosztka-csontvary/sunset-over-the-bay-of-naples-1901,https://uploads8.wikiart.org/images/tivadar-kosztka-csontvary/sunset-over-the-bay-of-naples-1901.jpg,22,,,,
Cain,Lovis Corinth,Expressionism,Religious painting,"oil, canvas",https://www.wikiart.org/en/lovis-corinth/cain-1917,https://uploads8.wikiart.org/images/lovis-corinth/cain-1917.jpg,23,,,,
Masks Mocking Death,James Ensor,Expressionism,symbolic painting,"oil, canvas",https://www.wikiart.org/en/james-ensor/masks-mocking-death-1888,https://uploads8.wikiart.org/images/james-ensor/masks-mocking-death-1888.jpg,24,,,,
The Artist's Wife Sitting at a Window in a Sunlit Room,Carl Holsoe,Expressionism,interior,"oil, canvas",https://www.wikiart.org/en/carl-holsoe/the-artists-wife-sitting-at-a-window-in-a-sunlit-room-1900,https://uploads3.wikiart.org/00116/images/carl-holsoe/carl-vilhelm-hols-e-www-kaifineart-com-4-4.jpg!Blog.jpg,25,,,,
Despair,Edvard Munch,Expressionism,genre painting,"oil, canvas",https://www.wikiart.org/en/edvard-munch/despair-1892,https://uploads8.wikiart.org/images/edvard-munch/despair-1892.jpg,26,,,,
The golden sail,Wassily Kandinsky,Expressionism,marina,woodcut,https://www.wikiart.org/en/wassily-kandinsky/the-golden-sail-1903,https://uploads8.wikiart.org/images/wassily-kandinsky/the-golden-sail-1903.jpg,27,,,,
The Carmagnole (Dance Around the Guillotine),Kathe Kollwitz,Expressionism,genre painting,"etching and aquatint, paper",https://www.wikiart.org/en/kathe-kollwitz/not_detected_235968,https://uploads8.wikiart.org/images/kathe-kollwitz/not_detected_235968.jpg,28,,,,
Forest Path,Emil Nolde,Expressionism,landscape,"oil, canvas",https://www.wikiart.org/en/emil-nolde/lesnaya-doroga-1909,https://uploads2.wikiart.org/00192/images/emil-nolde/5b4816d6edc2c90a545a2384.jpg!Large.jpg,29,,,,
Winter auf der Oschwand,Cuno Amiet,Expressionism,landscape,"oil, canvas",https://www.wikiart.org/en/cuno-amiet/winter-auf-der-oschwand-1908,https://uploads8.wikiart.org/images/cuno-amiet/winter-auf-der-oschwand-1908.jpg,30,,,,
Plaster head and arm,Pablo Picasso,Surrealism,still life,"oil, canvas",https://www.wikiart.org/en/pablo-picasso/plaster-head-and-arm-1925,https://uploads8.wikiart.org/images/pablo-picasso/plaster-head-and-arm-1925.jpg,31,,,,
Fairy Pipe,Pierre Roy,Surrealism,symbolic painting,"oil, canvas",https://www.wikiart.org/en/pierre-roy/fairy-pipe-1928,https://uploads8.wikiart.org/images/pierre-roy/fairy-pipe-1928.jpg,32,,,,
Aroundfish,Paul Klee,Surrealism,still life,"oil, canvas",https://www.wikiart.org/en/paul-klee/aroundfish-1926,https://uploads7.wikiart.org/images/paul-klee/aroundfish-1926(1).jpg,33,,,,
"November 14, 1937",Grace Palithorpe,Surrealism,figurative,"oil, canvas",https://www.wikiart.org/en/grace-pailthorpe/november-14-1937-1937,https://uploads4.wikiart.org/00280/images/grace-pailthorpe/november-14-1937-1937.jpg!Large.jpg,34,,,,
Portrait De Paul Eluard,Valentine Hugo,Surrealism,"symbolic painting, portrait",pastel on paper ,https://www.wikiart.org/en/valentine-hugo/portrait-de-paul-eluard-1932,https://uploads0.wikiart.org/00281/images/valentine-hugo/portrait-de-paul-eluard-1932.jpg!Large.jpg,35,,,,
Event on the Downs,Paul Nash,Surrealism,landscape,"oil, canvas",https://www.wikiart.org/en/paul-nash/event-on-the-downs-1934,https://uploads4.wikiart.org/00269/images/paul-nash/event-on-the-downs-1.jpg!HalfHD.jpg,36,,,,
King and Queen,Marcel Duchamp,Surrealism,figurative,"etching and aquatint, paper",https://www.wikiart.org/en/marcel-duchamp/king-and-queen-1968,https://uploads8.wikiart.org/images/marcel-duchamp/king-and-queen-1968.jpg,37,,,,
Juzgue,Xul Solar,Surrealism,figurative,"oil, canvas",https://www.wikiart.org/en/xul-solar/juzgue-1923,https://uploads8.wikiart.org/images/xul-solar/juzgue-1923.jpg,38,,,,
Faithful Servants (Marine),Edward Wadswortth,Surrealism,marina,"tempera, board",https://www.wikiart.org/en/edward-wadsworth/faithful-servants-marine-1928,https://uploads1.wikiart.org/images/edward-wadsworth/faithful-servants-marine-1928(1).jpg!Blog.jpg,39,,,,
Jazz,Man Ray,Surrealism,abstract,"oil, canvas",https://www.wikiart.org/en/man-ray/jazz,https://uploads8.wikiart.org/images/man-ray/jazz.jpg,40,,,,
Fantastic mountain landscape,Paul Bril,Baroque,landscape,"oil, canvas",https://www.wikiart.org/en/paul-bril/fantastic-mountain-landscape-1598,https://uploads8.wikiart.org/images/paul-bril/fantastic-mountain-landscape-1598.jpg,41,,,,
Distribution of Herring and White Bread During the Siege of Leiden 1574,Otto van Veen,Baroque,history painting,"oil, canvas",https://www.wikiart.org/en/otto-van-veen/distribution-of-herring-and-white-bread-during-the-siege-of-leiden-1574,https://uploads0.wikiart.org/00115/images/otto-van-veen/distribution-of-herring-and-white-bread-during-the-siege-of-leiden-1574.jpg!HalfHD.jpg,42,,,,
The Butcher`s Shop,Annibale Carracci,Baroque,genre painting,"oil, canvas",https://www.wikiart.org/en/annibale-carracci/the-butcher-s-shop,https://uploads8.wikiart.org/images/annibale-carracci/the-butcher-s-shop.jpg,43,,,,
"The explosion of the Spanish flagship during the Battle of Gibraltar, 25 April 1607",Hendrick Cornelisz Vroom,Baroque,battle painting,"oil, canvas",https://www.wikiart.org/en/hendrick-cornelisz-vroom/the-explosion-of-the-spanish-flagship-during-the-battle-of-gibraltar-25-april-1607-attributed,https://uploads8.wikiart.org/images/hendrick-cornelisz-vroom/the-explosion-of-the-spanish-flagship-during-the-battle-of-gibraltar-25-april-1607-attributed.jpg,44,,,,
The Adoration of the Magi,Adam van Noort,Baroque,Religious painting,"oil, canvas",https://www.wikiart.org/en/adam-van-noort/the-adoration-of-the-magi,https://uploads6.wikiart.org/00366/images/adam-van-noort/screenshot-2021-11-08-145114.png,45,,,,
De droom van Sint-Jozef,Francisco Pacheco,Baroque,Religious painting,"oil, canvas",https://www.wikiart.org/en/francisco-pacheco/de-droom-van-sint-jozef,https://uploads8.wikiart.org/images/francisco-pacheco/de-droom-van-sint-jozef.jpg,46,,,,
Allegory of Sight and Smell,Jan Brueghel the Elder,Baroque,allegorical painting,"oil, canvas",https://www.wikiart.org/en/jan-brueghel-the-elder/allegory-of-sight-and-smell-1620,https://uploads2.wikiart.org/00287/images/jan-brueghel-the-elder/allegory-of-sight-and-smell-1620.jpg!Blog.jpg,47,,,,
Cardsharps,Caravaggio,Baroque,genre painting,"oil, canvas",https://www.wikiart.org/en/caravaggio/cardsharps-1594-1,https://uploads8.wikiart.org/images/caravaggio/cardsharps-1594-1.jpg,48,,,,
